FID,Identificacao_Ponto,Tipo_Ponto,Legenda_Vegetacao_Ponto,Latitude,Longitude,Nivel_Amostragem,Tecnica_Amostragem,Variavel_Medida_Amostragem,Forma_Geometrica_Usada_Amostra,Largura_Forma_Geometrica_Amostra_Primaria_metro,Comprimento_Forma_Geometrica_Amostra_Primaria_metro,Volume_Madeira_m3_ou_Lenha_m3stX100_por_Hectare,Total_Individuos_Ponto,Total_Especies_Ponto,the_geom
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d37,SD21YC/RB/A.67,Inventário,Sd,-15:36:24,-59:09:20,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,500,52.8834,116,29,POINT (-59.156151026854864 -15.607148618718506)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d38,SD21YC/RB/A.72,Inventário,Fs,-15:02:30,-59:17:35,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,79.0988,31,17,POINT (-59.29364387917702 -15.0421720062443)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d39,SD21YC/RB/A.73,Inventário,Fs,-15:03:05,-59:30:15,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,110.8132,77,20,POINT (-59.50484749512442 -15.051974892881196)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d3a,SD21YC/RB/A.75,Inventário,Fs,-15:33:35,-59:20:11,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,35.6808,22,8,POINT (-59.33714815094777 -15.560193590266111)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d3b,SD21YC/RB/A.76,Inventário,Cs,-15:22:06,-59:13:27,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,47.7191,104,21,POINT (-59.224802358648276 -15.368866280180791)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d3c,SD21YC/RB/A.77,Inventário,Cs,-15:11:55,-59:06:11,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,167.2646,70,24,POINT (-59.10369949097035 -15.199157033257443)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d3d,SD21YC/RB/A.80,Inventário,Fs,-15:11:15,-58:38:05,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,77.691,55,24,POINT (-58.63540261923208 -15.188175908478698)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d3e,SD21YD/RB/A.105,Inventário,Fs,-15:33:40,-58:01:52,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,107.149,56,18,POINT (-58.03164686190229 -15.5617221081152)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d3f,SD21YD/RB/A.45,Inventário,Fs,-15:07:17,-58:03:38,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,81.4028,44,15,POINT (-58.06130634242742 -15.12205893344876)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d40,SD21YD/RB/A.46,Inventário,Sd,-15:10:59,-58:05:38,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,46.2339,102,37,POINT (-58.09452288475528 -15.183748401203314)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d41,SD21YD/RB/A.81,Inventário,Fs,-15:22:19,-58:26:23,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,175.5307,70,18,POINT (-58.440251961845334 -15.372503612590315)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d42,SD21YD/RB/A.82,Inventário,Fs,-15:01:19,-58:03:15,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,37.4106,86,24,POINT (-58.05479929646527 -15.022646229809041)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d43,SD21YD/RB/A.83,Inventário,Fs,-15:09:57,-57:33:09,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,8.6975,35,15,POINT (-57.55309317732896 -15.166512033890152)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d44,SD21YD/RB/A.84,Inventário,Fs,-15:28:56,-57:34:45,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,13.1842,19,8,POINT (-57.57991966719768 -15.482870970189305)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d45,SD21ZA/RB/A.19,Inventário,Sa,-14:35:30,-56:34:47,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,9.1885,79,16,POINT (-56.58026624267278 -14.592332233892993)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d46,SD21ZA/RB/A.26,Inventário,Sa,-14:54:40,-56:28:00,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,32.4447,322,31,POINT (-56.467304709771 -14.911606304046186)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d47,SD21ZA/RB/A.33,Inventário,Sa,-14:20:01,-56:02:01,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,39.5667,354,36,POINT (-56.03421322892108 -14.334213137926548)
