FID,id_objeto,nome,nomeabrev,geometriaaproximada,emduto,tensaoeletrica,numcircuitos,especie,posicaorelativa,operacional,situacaofisica,id_produtor,id_elementoprodutor,geom
BC250_2017_Trecho_Energia_L.22,22,LT 500 kV SERRA DA MESA/SAMAMBAIA C-2 GO/DF,LT 500 kV SERRA DA MESA/SAMAMBAIA C-2 GO/DF,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250014,12,"MULTILINESTRING ((-48.289394929000004 -13.8424000099999, -48.279980929000004 -13.9629020099999, -48.277682968 -14.000439743, -48.216930104 -14.996126849999898, -48.2165558199999 -15.0004454319999, -48.174772429 -15.686972012, -48.1650159289999 -15.916304012, -48.251856791 -16.0004508019999, -48.2525151629999 -16.0047130909999, -48.260115188 -16.0237408899999, -48.2699341979999 -16.040827077, -48.279475834 -16.057580416, -48.2943430359999 -16.085595105000003, -48.303718247999896 -16.1032915119999, -48.307823371000005 -16.104678378000003, -48.354643961 -16.104789328000003, -48.4090645749999 -16.1050112259999, -48.437467586 -16.108450653000002, -48.461210729 -16.123040481, -48.496326171 -16.148947135, -48.530554019 -16.1741326169999, -48.535102938 -16.178404164000003, -48.556072349000004 -16.1954903509999, -48.59595861 -16.208859737, -48.61676159699989 -16.217458305, -48.6643033559999 -16.223172191999897, -48.698808577 -16.239814582, -48.723827635999996 -16.2630584529999, -48.741080247 -16.2802555879999, -48.768983987 -16.303499459, -48.83584941 -16.363097704999998, -48.86519549 -16.386341575999896, -48.892222839999896 -16.412699667000002, -48.964062488 -16.4740546099999, -49.000758217999895 -16.505462721999898))"
BC250_2017_Trecho_Energia_L.23,23,LT 345 kV NEVES 1 /TRES MARIAS C-1 MG,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250000,99,"MULTILINESTRING ((-44.3236402006333 -19.127755393086556, -44.677829159999895 -18.906753149999897, -44.72507600573498 -18.854902003498342, -44.79471653062088 -18.778474868477495, -44.81302067610882 -18.755045024352654, -45.206562425806595 -18.251300019806493, -45.258886054 -18.2143085719999))"
BC250_2017_Trecho_Energia_L.24,24,LT 500 kV B.DESPACHO 3 /JAGUARA-SE C-1 MG,LT 500 kV B.DESPACHO 3 /JAGUARA-SE C-1 MG,Não,Não,,,Transmissão,Emerso,Sim,Construída,250013,116,"MULTILINESTRING ((-47.43621622068651 -20.011109491881353, -47.387769191000004 -19.862681094, -47.3219407349999 -19.853723276))"
BC250_2017_Trecho_Energia_L.25,25,,,Não,Não,,,Transmissão,Emerso,Sim,Construída,250008,68,"MULTILINESTRING ((-51.72487088 -17.847789909, -51.728797336999904 -17.845245779, -51.731164657 -17.844152428, -51.74038953 -17.8436643389999, -51.749516786 -17.843127442, -51.755080995 -17.8416631759999, -51.758753860999896 -17.840330084, -51.7693497879999 -17.8402070449999, -51.797376916 -17.84385144, -51.8328663739999 -17.829794489999898, -51.87043834400001 -17.8156507699999, -51.916774214 -17.797689111999897, -51.9818526839999 -17.772677287, -52.046410525999896 -17.748077625999898, -52.109016013 -17.724389062999897, -52.229215946 -17.677532565000003, -52.2828406049999 -17.656967768, -52.360414141 -17.626966594000002, -52.40167389 -17.6103715839999, -52.500474685 -17.571910209, -52.529532495999895 -17.562056151, -52.531025026 -17.562392631999998))"
BC250_2017_Trecho_Energia_L.26,26,LT 138 kV RIO VERDE FUR/C. DOURADA C-2 GO,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250008,82,"MULTILINESTRING ((-50.869959931 -17.764572514, -50.728359430999895 -17.8742265139999, -50.64201743099989 -17.9182605139999, -50.52836689223638 -17.974413950123292, -50.475659498 -18.000456073, -50.1584585532843 -18.4087211560035, -49.51086144011019 -18.503914445412683))"
BC250_2017_Trecho_Energia_L.27,27,LT 500 kV NOVA PONTE /ITUMBIARA C-1 MG,LT 500 kV NOVA PONTE /ITUMBIARA C-1 MG,Não,Não,,,Transmissão,Emerso,Sim,Construída,250013,112,"MULTILINESTRING ((-48.17842410885877 -18.91721152390671, -47.685750097 -19.164455231))"
BC250_2017_Trecho_Energia_L.28,28,LT 500 kV SERRA MESA 2 /LUZIANIA C-1 GO,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250008,15,"MULTILINESTRING ((-48.0358264289999 -13.771099009999899, -48.019861718 -14.000440204, -48.015192929 -14.0784000099999, -48.000433382 -14.244250628))"
BC250_2017_Trecho_Energia_L.29,29,,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250008,74,"MULTILINESTRING ((-51.037749350999896 -17.818212877999898, -51.06286964 -17.817106543999998, -51.081091611 -17.8156748169999, -51.11766571 -17.8175458229999, -51.269542584999996 -17.823093763, -51.291408950999895 -17.8215969579999, -51.3057262139999 -17.825241352, -51.318286358 -17.826087372, -51.331822679 -17.827193705999896, -51.353233496 -17.829927002, -51.396055127999894 -17.8359142209999, -51.432564148 -17.840664949, -51.5354532069999 -17.8549171339999, -51.559337005 -17.857975822, -51.611464858 -17.8650042959999, -51.662941926 -17.870015338, -51.689038392 -17.872683556000002, -51.695285004 -17.8720979349999))"
BC250_2017_Trecho_Energia_L.30,30,LT 500 kV JAGUARA-SE /SAO SIMAO-SE C-1 MG,LT 500 kV JAGUARA-SE /SAO SIMAO-SE C-1 MG,Não,Não,,,Transmissão,Emerso,Sim,Construída,250013,109,"MULTILINESTRING ((-47.4382705396568 -20.01889248499796, -47.494785623 -19.964601423, -47.563818151491475 -19.949934539392387, -47.81913797480385 -19.883070279403153, -50.4809909999999 -19.0294260299999))"
BC250_2017_Trecho_Energia_L.31,31,LT 500 kV SERRA DA MESA/GURUPI C-1 GO/TO,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250008,2,"MULTILINESTRING ((-48.90967088072178 -11.990482476044225, -48.850482429 -12.1836150089999, -48.584300245 -13.000433523, -48.3778889289999 -13.633404509999899, -48.322105429 -13.80651001, -48.2951244289999 -13.8256540099999))"
BC250_2017_Trecho_Energia_L.32,32,LT 230 kV RIO VERDE FUR/C. DOURADA C-1 GO,LT 230 kV RIO VERDE FUR/C. DOURADA C-1 GO,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250013,83,"MULTILINESTRING ((-49.13078921781634 -18.411053637058856, -50.355185706 -18.000456358999898, -50.86799743099989 -17.7627985139999))"
BC250_2017_Trecho_Energia_L.33,33,LT 500 kV GURUPI /PEIXE ANGICAL C-1 TO,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250008,1,"MULTILINESTRING ((-49.04775401639399 -11.745420315072527, -48.517016428999995 -12.187807508999999, -48.37455142900001 -12.261593508999999, -48.347949929 -12.239399509))"
